lon	lat	plotsize	species_richness	aus_state_info	elevation	hfp	bio_1	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8	bio_9	bio_10	bio_11	bio_12	bio_13	bio_14	bio_15	bio_16	bio_17	bio_18	bio_19	species_list
13719201	-1346159	300	14	7	7	9.4844	26.9125	5.9917	63.7411	107.4313	31.7	22.3	9.4	27.5333	25.55	28.1167	25.4333	1705	416	3	112.7016	1134	17	692	35	Acacia leptocarpa, Allopterigeron filifolius, Canthium, Chrysopogon, Cochlospermum gillivraei, Diospyros vera, Eragrostis, Eriachne, Fimbristylis, Hakea pedunculata, Melaleuca acacioides, Melaleuca viridiflora, Pandanus, Schizachyrium
14003478	-1915817	300	74	7	88	7.429	25.2583	6.6	52.8	208.9675	31.5	19	12.5	26.55	22.3667	27.4833	22.3667	2323	462	17	90.7315	1312	80	902	80	Acronychia laevis, Aglaia sapindina, Aidia racemosa, Alchornea scandens, Alpinia caerulea, Alstonia scholaris, Arytera divaricata, Asplenium, Austromyrtus, Beccariella xerocarpa, Blepharocarya involucrigera, Buchanania arborescens, Calophyllum, Canthium, Carallia brachiata, Casearia dallachyi, Celtis paniculata, Chionanthus ramiflorus, Claoxylon tenerifolium, Cleistanthus apodus, Colysis, Cryptocarya hypospodia, Cryptocarya obovata, Decaspermum humile, Derris trifoliata, Diospyros, Diospyros fasciculosa, Diploglottis macrantha, Dracaena angustifolia, Drypetes deplanchei, Dysoxylum acutangulum, Dysoxylum gaudichaudianum, Elaeocarpus angustifolius, Emmenosperma cunninghamii, Eugenia reinwardtiana, Ficus obliqua, Ganophyllum falcatum, Glycosmis trifoliata, Gomphandra australiana, Helicia australasica, Heritiera polyandra, Hubera nitidissima, Hypserpa decumbens, Ichnocarpus frutescens, Mallotus ficifolius, Melodinus orientalis, Melodorum leichhardtii, Memecylon pauciflorum, Micromelum minutum, Miliusa brahei, Mischocarpus pyriformis, Morinda jasminoides, Mucuna gigantea, Myristica insipida, Neolitsea australiensis, Neosepicaea jucunda, Pararistolochia deltantha, Piper hederaceum, Pipturus argenteus, Pittosporum rubiginosum, Planchonella, Psychotria loniceroides, Psydrax lamprophylla, Ptychosperma elegans, Rhamnella vitiensis, Rhodomyrtus macrocarpa, Schefflera actinophylla, Sterculia quadrifida, Streblus pendulinus, Strychnos, Syzygium cormiflorum, Terminalia sericocarpa, Timonius timon, Wilkiea
13825413	-1589492	300	42	7	39	4.5792	25.7833	7.7333	59.4872	167.8248	32.1	19.1	13	27.2333	23.7	27.5	23.4167	1929	418	14	98.2916	1171	62	690	78	Acacia crassicarpa, Acacia rothii, Blumea saxatilis, Breynia cernua, Buchnera tetragona, Cheilanthes, Cleistanthus, Coelorachis rottboellioides, Corymbia clarksoniana, Cyanthillium cinereum, Dillenia alata, Eremochloa, Eriachne glauca, Eriachne pallescens, Eucalyptus leptophleba, Eulalia contorta, Eulalia mackinlayi, Ficus opposita, Fimbristylis acicularis, Flemingia parviflora, Flueggea virosa, Gardenia scabrella, Grevillea glauca, Grewia retusifolia, Heteropogon triticeus, Hybanthus enneaspermus, Imperata cylindrica, Lomandra, Lophostemon suaveolens, Mnesithea formosa, Persoonia falcata, Phyllanthus virgatus, Polygala linariifolia, Schelhammera multiflora, Schizachyrium pachyarthron, Scleria, Setaria surgens, Striga, Thaumastochloa rariflora, Timonius timon, Wahlenbergia, Wollastonia biflora
14532021	-2822174	300	52	7	56	1.4546	21.975	10.1	50	360.0031	30.7	10.5	20.2	25.75	17.9667	25.9667	17.1333	1234	207	21	61.2555	555	114	489	134	Acacia flavescens, Acacia leptocarpa, Alloteropsis semialata, Aristida queenslandica, Brunoniella acaulis, Cheilosoria tenuifolia, Chrysopogon benthamianus, Coelospermum reticulatum, Corymbia intermedia, Corymbia trachyphloia, Crotalaria montana, Curculigo ensifolia, Cyanthillium cinereum, Cymbopogon refractus, Desmodium rhytidophyllum, Desmodium varians, Dianella caerulea, Dianella longifolia, Digitaria breviglumis, Eragrostis brownii, Eremochloa bimaculata, Eucalyptus drepanophylla, Eucalyptus exserta, Eucalyptus moluccana, Eucalyptus platyphylla, Eucalyptus portuensis, Eustrephus latifolius, Fimbristylis dichotoma, Galactia tenuiflora, Glycine cyrtoloba, Goodenia rotundifolia, Hypoxis pratensis, Iphigenia indica, Lomandra multiflora, Lophostemon confertus, Lophostemon suaveolens, Murdannia graminea, Paspalidium distans, Paspalidium gausum, Passiflora suberosa, Phyllanthus virgatus, Polygala linariifolia, Pterocaulon, Rostellularia adscendens, Schizachyrium, Sorghum nitidum, Spermacoce brachystema, Tephrosia juncea, Thecanthes cornucopiae, Themeda triandra, Xanthorrhoea johnsonii, Zornia diphylla
13896272	-1838590	300	4	7	8	0.2528	26.425	11.2833	63.0354	204.2892	34.6	16.7	17.9	28.0833	24.0667	28.6333	23.5667	1255	307	2	112.8554	847	17	524	23	Aegialitis annulata, Avicennia marina, Batis argillicola, Ceriops tagal
13769847	-1654581	300	40	7	130	0.3088	25.8083	10.25	60.2941	183.0032	34.3	17.3	17	26.9167	23.8333	27.8167	23.2167	1513	364	2	115.9424	1048	11	646	19	Antidesma, Arundinella setosa, Brunoniella australis, Capillipedium parviflorum, Cayratia trifolia, Chamaecrista mimosoides, Cleistanthus, Commelina ensifolia, Corymbia papuana, Crotalaria medicaginea, Crotalaria montana, Cyanotis axillaris, Cyanthillium cinereum, Dichanthium sericeum, Erythrina vespertilio, Erythrophleum chlorostachys, Eucalyptus leptophleba, Ficus opposita, Fimbristylis dichotoma, Flueggea virosa, Goodenia pilosa, Grevillea striata, Grewia retusifolia, Heteropogon contortus, Heteropogon triticeus, Imperata cylindrica, Ipomoea graminea, Ischaemum fragile, Mukia maderaspatana, Passiflora foetida, Piliostigma malabaricum, Rhynchosia, Rottboellia cochinchinensis, Scleria novae-hollandiae, Sorghum laxiflorum, Themeda arguens, Themeda triandra, Thunbergia arnhemica, Velleia, Vigna
13781299	-1484040	300	18	7	31	0.2517	26.1375	7.7917	62.836	138.5497	32.1	19.7	12.4	27.2167	24.4	27.6167	24.1833	1669	383	6	106.4171	1082	30	666	47	Asteromyrtus lysicephala, Baeckea frutescens, Baloskion tetraphyllum, Dapsilanthus ramosus, Drosera petiolaris, Erythroxylum australe, Gahnia sieberiana, Gonocarpus acanthocarpus, Ischaemum, Lindsaea, Melaleuca arcana, Neofabricia myrtifolia, Nepenthes mirabilis, Schoenus, Selaginella, Thryptomene oligandra, Trachystylis stradbrokensis, Xyris
13714965	-1828776	300	37	7	53	0	26.5125	11.3083	60.7975	201.3153	35.2	16.6	18.6	27.6833	24.4	28.6	23.6	1341	373	1	125.3842	979	5	606	6	Alphitonia pomaderroides, Alysicarpus, Antidesma ghaesembilla, Arundinella setosa, Blumea saxatilis, Capillipedium parviflorum, Capparis, Cayratia trifolia, Coelorachis rottboellioides, Corymbia clarksoniana, Corymbia confertiflora, Corymbia tessellaris, Crotalaria medicaginea, Desmodium, Eragrostis, Eriachne, Erythrophleum chlorostachys, Eucalyptus chlorophylla, Eucalyptus tetrodonta, Eulalia contorta, Fimbristylis, Grewia retusifolia, Heteropogon triticeus, Melaleuca nervosa, Oldenlandia corymbosa, Panicum, Phyllanthus virgatus, Planchonia careya, Pycnospora lutescens, Rhynchosia, Schizachyrium fragile, Setaria surgens, Sorghum plumosum, Sporobolus actinocladus, Themeda arguens, Themeda triandra, Zornia muriculata
13761327	-1547974	300	14	7	117	1.3742	25.8	9.7	61.3924	159.559	33.4	17.6	15.8	26.9	23.9167	27.55	23.5	1614	390	5	112.916	1092	19	664	26	Aristida, Asteromyrtus symphyocarpa, Canthium, Diplacrum pygmaeum, Eriocaulaceae, Fimbristylis, Melaleuca clarksonii, Melaleuca saligna, Melaleuca viridiflora, Schizachyrium, Schoenus sparteus, Scleria, Stylidium floodii, Xyris
13969573	-1857120	300	23	7	383	1.1786	24.4667	8.35	59.6429	198.5096	31.5	17.5	14	26.2333	23.3333	26.6	21.7333	1729	447	7	112.5754	1175	33	1041	54	Allocasuarina, Allocasuarina littoralis, Asteromyrtus lysicephala, Banksia dentata, Boronia alulata, Buchnera, Daviesia, Digitaria, Drosera petiolaris, Gompholobium pinnatum, Grevillea pteridifolia, Jacksonia thesioides, Leucopogon ruscifolius, Melaleuca foliolosa, Melaleuca viridiflora, Neofabricia myrtifolia, Neoroepera banksii, Persoonia falcata, Phyllanthus virgatus, Schoenus sparteus, Thryptomene oligandra, Triodia, Xanthorrhoea johnsonii
